bande_src;bande_dst;detecteur;delta_t
B06;B12;D07;0.583424881
B06;B12;D08;-0.571723822
B06;B12;D09;0.589259724
B06;B12;D10;-0.575843847
B06;B12;D11;0.592689817
B06;B12;D12;-0.580683171
B07;B01;D01;0.534491922
B07;B01;D02;-0.526272658
B07;B01;D03;0.528178227
B07;B01;D04;-0.520176773
B07;B01;D05;0.52326597
B07;B01;D06;-0.517570666
B07;B01;D07;0.523045025
B07;B01;D08;-0.518811683
B07;B01;D09;0.525297878
B07;B01;D10;-0.522104954
B07;B01;D11;0.529533502
B07;B01;D12;-0.529843863
B07;B02;D01;-1.796577757
B07;B02;D02;1.802160474
B07;B02;D03;-1.772996821
B07;B02;D04;1.783918005
B07;B02;D05;-1.76060077
B07;B02;D06;1.774785079
B07;B02;D07;-1.757350757
B07;B02;D08;1.775743648
B07;B02;D09;-1.763923828
B07;B02;D10;1.788182517
B07;B02;D11;-1.780184872
B07;B02;D12;1.811002486
B07;B03;D01;-1.270898544
B07;B03;D02;1.277754375
